Name,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Jessica Shepard,142,68,3230,4.8,8.8,.544,0.1,0.6,.154,4.7,8.2,.571,2.6,3.8,.680,3.3,7.9,11.2,4.8,0.7,0.3,2.3,2.5,12.2
Aneesah Morrow,57,29,1156,5.6,14.8,.381,1.0,4.0,.246,4.6,10.7,.432,3.0,4.1,.727,4.1,9.6,13.7,1.4,1.5,0.8,2.3,3.5,15.3
Emily Engstler,137,27,2120,4.6,10.6,.434,1.4,3.8,.367,3.2,6.8,.471,1.5,2.3,.657,3.1,6.3,9.4,3.2,1.8,2.1,2.6,4.6,12.1
Kamilla Cardoso,89,85,2431,6.4,12.1,.532,0.0,0.0,.500,6.4,12.1,.532,3.1,4.3,.721,3.8,7.2,11.0,2.9,0.6,1.8,2.6,4.1,16.0
Kiah Stokes,339,143,6539,2.5,5.1,.482,0.3,1.2,.223,2.2,3.9,.564,0.9,1.4,.665,2.5,7.6,10.1,1.4,1.0,1.9,1.3,3.6,6.1
Cameron Brink,48,16,818,5.2,11.7,.449,1.4,4.3,.320,3.9,7.4,.524,3.0,3.9,.784,2.9,7.0,9.9,2.2,1.5,3.6,4.1,7.0,14.9
Natasha Howard,398,282,9317,7.1,14.5,.491,0.6,2.1,.288,6.5,12.4,.526,3.2,4.3,.740,2.9,6.0,8.9,2.4,1.8,1.4,3.3,4.5,18.1
Ariel Atkins,265,260,7352,6.0,14.2,.422,2.2,6.2,.357,3.8,7.9,.474,2.8,3.3,.854,1.1,2.8,3.9,3.3,1.9,0.6,2.3,3.6,17.0
Julie Allemand,93,63,2396,2.7,6.1,.448,1.3,3.8,.353,1.4,2.3,.605,0.9,1.1,.781,0.5,3.9,4.4,6.5,1.6,0.3,2.4,2.4,7.6
Paige Bueckers,52,52,1721,7.9,16.3,.485,1.5,4.1,.359,6.4,12.2,.527,3.7,4.2,.871,0.7,3.6,4.3,6.1,1.4,0.5,2.2,2.6,20.9
Courtney Williams,351,313,9767,6.9,15.8,.439,1.0,2.7,.377,5.9,13.1,.451,1.2,1.5,.756,1.4,5.4,6.8,5.3,1.2,0.4,2.5,2.1,16.0
Veronica Burton,169,82,3306,3.2,8.7,.368,1.4,4.1,.327,1.9,4.6,.404,3.5,4.0,.873,1.4,3.3,4.6,6.3,1.6,0.7,2.1,3.3,11.3
Kayla McBride,392,389,11894,5.7,13.8,.412,2.3,6.2,.371,3.4,7.6,.446,3.5,3.9,.895,0.6,3.2,3.8,3.0,1.3,0.1,2.0,1.6,17.1
Kelsey Mitchell,295,262,9055,7.3,16.8,.435,2.8,7.4,.381,4.5,9.3,.477,3.3,3.9,.828,0.5,1.8,2.3,3.4,0.9,0.2,2.3,2.5,20.7
Allisha Gray,317,297,9750,5.5,12.7,.432,1.7,4.8,.354,3.8,7.9,.479,3.9,4.8,.810,1.3,3.8,5.2,2.8,1.4,0.6,1.7,2.8,16.5
Kiki Iriafen,57,57,1524,6.9,13.9,.500,0.2,0.6,.259,6.8,13.3,.512,4.4,5.9,.743,3.4,8.2,11.6,2.1,0.8,0.3,2.7,4.0,18.4
Kamilla Cardoso,89,85,2431,6.4,12.1,.532,0.0,0.0,.500,6.4,12.1,.532,3.1,4.3,.721,3.8,7.2,11.0,2.9,0.6,1.8,2.6,4.1,16.0
Alanna Smith,198,124,4045,4.8,10.5,.451,1.4,4.6,.303,3.4,6.0,.565,1.5,2.4,.644,2.3,5.6,7.8,3.3,1.7,2.0,2.3,4.3,12.4
Natasha Mack,96,52,1712,4.5,7.7,.585,0.0,0.3,.167,4.5,7.4,.599,1.1,1.9,.607,4.0,7.5,11.5,2.1,1.5,2.6,1.3,3.3,10.2
Napheesa Collier,193,193,6461,7.4,15.0,.492,1.0,3.1,.336,6.4,11.9,.533,3.9,4.6,.842,2.1,6.3,8.4,3.2,1.8,1.3,2.4,2.8,19.7
Gabby Williams,209,153,5283,5.0,11.8,.426,1.0,3.6,.293,4.0,8.2,.484,1.8,2.3,.777,1.2,4.4,5.6,4.0,2.2,0.4,2.3,2.2,12.8
Leila Lacan,34,24,915,5.7,12.7,.452,1.0,4.3,.229,4.8,8.4,.565,1.9,2.6,.742,0.8,2.0,2.8,5.2,2.8,0.2,2.4,4.6,14.4
